date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:17:13	335303/335303	---M--	200	added ('OK')	image/jpeg	etag:%2264774fd4-640c7%22	https://g.foolcdn.com/editorial/images/734196/bitcoin-to-the-moon-bullish-cryptocurrency-btc-2.jpg	/home/joestack/websites/gencapital%20clone/g.foolcdn.com/editorial/images/734196/bitcoin-to-the-moon-bullish-cryptocurrency-btc-2.jpg	(from https://gencapitals.com/news)
11:17:20	7811/7811	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Jun%202023%2010:17:20%20GMT	https://www.bing.com/th?id=ODF.NQMhS3nMSzM3OoefIZqTyg&pid=news	/home/joestack/websites/gencapital%20clone/www.bing.com/th5e4c.png	(from https://gencapitals.com/news)
11:17:20	304571/304571	---M--	200	added ('OK')	image/jpeg	etag:%2250606561a5e838b8%22	https://www.kxan.com/wp-content/uploads/sites/40/2022/11/681e434e221440e38dc932ed77ce616b.jpg?w=1280	/home/joestack/websites/gencapital%20clone/www.kxan.com/wp-content/uploads/sites/40/2022/11/681e434e221440e38dc932ed77ce616b8a01.jpg	(from https://gencapitals.com/news)
11:17:21	2703/2703	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Jun%202023%2010:17:20%20GMT	https://www.bing.com/th?id=ODF.savHCg5UzraQlypYVIFYUg&pid=news	/home/joestack/websites/gencapital%20clone/www.bing.com/th6c52.png	(from https://gencapitals.com/news)
11:17:28	4248/4248	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Jun%202023%2010:17:27%20GMT	https://www.bing.com/th?id=ODF.dsVvdYEiGuqZDGlCaqu-ZQ&pid=news	/home/joestack/websites/gencapital%20clone/www.bing.com/th596c.png	(from https://gencapitals.com/news)
11:17:28	146654/146654	---M--	200	added ('OK')	image/jpeg	etag:%229fb1bf7d3624a9eeccd044e241c8bec8%22	https://www.thestreet.com/.image/t_share/MTgxMjQ4MDg4MzExMDgwMjk2/saturday-night-live-elon-musk.jpg	/home/joestack/websites/gencapital%20clone/www.thestreet.com/.image/t_share/MTgxMjQ4MDg4MzExMDgwMjk2/saturday-night-live-elon-musk.jpg	(from https://gencapitals.com/news)
11:17:34	5613/5613	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Jun%202023%2010:17:33%20GMT	https://www.bing.com/th?id=ODF.aHfUNYUmdpXsUxk3rTfzEQ&pid=news	/home/joestack/websites/gencapital%20clone/www.bing.com/tha2fd.png	(from https://gencapitals.com/news)
11:17:35	179674/179674	---M--	200	added ('OK')	image/jpeg	etag:e828a6d9c62d3925ddb1f579696d6252	https://arizent.brightspotcdn.com/dims4/default/d780c8b/2147483647/strip/true/crop/1600x840+0+180/resize/1200x630!/quality/90/?url=https%3A%2F%2Fsource-media-brightspot.s3.amazonaws.com%2F16%2Fc1%2F50e721ff49bfaa845c001e041e9d%2Funtitled-1.jpg	/home/joestack/websites/gencapital%20clone/arizent.brightspotcdn.com/dims4/default/d780c8b/2147483647/strip/true/crop/1600x840+0+180/resize/1200x630!/quality/90/index6327.html	(from https://gencapitals.com/news)
11:17:36	10116/10116	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Jun%202023%2010:17:35%20GMT	https://www.bing.com/th?id=ODF.LnWAsYULk4XKw3udkffflQ&pid=news	/home/joestack/websites/gencapital%20clone/www.bing.com/th1f4b.png	(from https://gencapitals.com/news)
11:17:43	2085674/2085674	---M--	200	added ('OK')	image/png	etag:%222FmgTmtXiOZoG4KQqOqalCpbat/ZjMknH32n7mzPdnE%22	https://www.benzinga.com/files/images/story/2023/1685732421_0.png?optimize=medium&dpr=2&auto=webp&width=3840	/home/joestack/websites/gencapital%20clone/www.benzinga.com/files/images/story/2023/1685732421_0bfa4.png	(from https://gencapitals.com/news)
11:17:43	105518/105518	---M--	200	added ('OK')	image/png	etag:%22647abb12-19c2e%22	https://techbullion.com/wp-content/uploads/2023/06/Dogetti-2.png	/home/joestack/websites/gencapital%20clone/techbullion.com/wp-content/uploads/2023/06/Dogetti-2.png	(from https://gencapitals.com/news)
